Date, Close/Last, Volume, Open, High, Low
12/18/2020, $3201.65, 5995713, $3243.99, $3249.42, $3171.6
12/17/2020, $3236.08, 3474347, $3250, $3263.51, $3221
12/16/2020, $3240.96, 4427616, $3176.01, $3247, $3163.68
12/15/2020, $3165.12, 3323686, $3181.01, $3188.4999, $3130.49
12/14/2020, $3156.97, 4155794, $3143, $3190.47, $3126
12/11/2020, $3116.42, 3064695, $3096.66, $3118.67, $3072.82
12/10/2020, $3101.49, 3030186, $3088.99, $3142.1, $3076
12/09/2020, $3104.2, 4100836, $3167.89, $3174.43, $3088
12/08/2020, $3177.29, 3286303, $3158.9, $3184.13, $3120.02
12/07/2020, $3158, 2751316, $3156.48, $3180.76, $3141.69
12/04/2020, $3162.58, 2913611, $3198.21, $3198.21, $3158.76
12/03/2020, $3186.73, 2892039, $3205.46, $3228.64, $3181.31
12/02/2020, $3203.53, 3129304, $3221.65, $3232, $3173.2601
12/01/2020, $3220.08, 4544382, $3188.5, $3248.95, $3157.18
11/30/2020, $3168.04, 4063916, $3208.48, $3228.39, $3125.55
11/27/2020, $3195.34, 2392867, $3211.26, $3216.19, $3190.05
11/25/2020, $3185.07, 3790403, $3141.87, $3198, $3140.26
11/24/2020, $3118.06, 3602102, $3100.5, $3134.25, $3086.258
11/23/2020, $3098.39, 4708887, $3116.699, $3139.745, $3065.46
11/20/2020, $3099.4, 3380138, $3117.02, $3132.89, $3098.0456
